,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
147,ANXA3,CD83,ZNRF3,CDH1,DISC1FP1,SLC52A3,FAXDC2,CRYBG3,MYO1F,SLC7A14-AS1,SPON1,NEDD9,FAM149A,OTULINL,ACSS3,VCAN,MEGF10,PHLPP1,LHFPL3,DISP1,ADAMTS9-AS2,PLEKHH1,OSMR,GLIS3
148,CEMIP,NIBAN1,PLEKHH1,FAXDC2,LYZ,B2M,BTG2,IRF8,SYNPR,LHFPL2,USP6NL,CHRM5,CPQ,LINC00472,RGS12,ADAMTS9-AS2,NTN1,MGAM,ADAMTS9,MGST1,ENTREP1,LINC01060,MRC2,ZBTB20-AS5
149,SLC1A2,FLVCR2,NRXN1-DT,MYO15B,TACR1,KCNMB1,LDLRAD3,RIN3,ALK,LNC-LBCS,EMID1,RCSD1,PACRG-AS3,COL25A1,ANKRD44,FGF1,GNG12-AS1,LAMA3,TMEM144,CPNE2,LINC01060,KIF6,ATP13A4,DBNDD2
150,SERPINA3,LINC02649,HIF1A-AS3,ELMO1-AS1,DLEU1,SAMD9L,XRCC4,PALD1,GNG12-AS1,SYNPR,CNR1,PIP4K2A,KMO,NPL,USP6NL,PLEKHH1,TRPC3,SLC19A1,PHF21B,SRGAP1,LOC101927745,FN1,TP53TG5,SYNE2
151,NID1,ARHGAP25,TF,SLC31A2,PIP4K2A,PCED1B,KIAA1217,HIF1A-AS3,SPON1,GSN,CD55,SEMA6A,PALD1,PACRG-AS3,GCNT2,ANKRD44,FBN2,PDE7B-AS1,HAPLN2,ATP8B4,SGCZ,TPRG1,LPAR6,HYCC1
152,TIMP3,LILRB1,MIR4300HG,DISC1,BHLHE41,PRR18,CBR1,SLC25A13,CHI3L1,RASGRP3,LINC01630,PDE8A,DSEL-AS1,RASGEF1C,HSPA1B,BHLHE41,CGNL1,XRCC4,ALDH1L1,LOC105377188,ZNF385D-AS2,CHODL,GLI3,ELMO1
153,PTPRC,IL18,LINC02328,PXK,IL21R,KIF26B,ANKRD37,LINC01748,CDKN1C,SEMA5A,PLEKHA7,FGF13,CHRM5,HS3ST2,ZFHX3,CFAP418-AS1,TMEM144,ELMO1,ADAMTS6,ANGPT2,ARHGAP6,ST8SIA6,CCN1,NEDD9
154,MYO5B,GRIK1,NPL,TMEM98,LDLRAD3,LINC01446,SOCS6,ROBO2,RNASET2,MARCKSL1,AKAP13,LOC101927026,SULF2,EMC10,VEGFA,ITGA8,PRR5L,RBPMS,TBC1D16,B4GALT1,PIP4K2A,NAMPT,THBS1,HIF1A
155,TENT5A,MIR223HG,ZBTB20,DLC1,SLC4A4,PLPP2,DLC1,MT1X,C8orf34,PCED1B,LINC00276,JUNB,CDK18,SHISA6,PLEKHH1,NPL,LOC101928651,CEMIP,DENND3,SYNPR,MYO10,SFMBT2,P2RY14,BCHE
156,CYP27A1,H2AC6,PDLIM5,ZHX2,SFMBT2,SDK1,SUCLG2-DT,FGD2,ACSL1,FAM149A,SUCLG2-DT,SLC39A11,PKP2,CYTH4,SLC2A3,ABCC4,GSN,EYS,WWTR1,GNB4,LIF,LINC00609,TMEM71,LOC101927745
