,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
171,DISC1,SEMA6A,TPRG1,ABI3BP,HHIP,EPSTI1,TACR1,NR4A3,ALK,MARCKSL1,SLC7A5,CPQ,HPN-AS1,LOC101927314,KAT2B,SRGAP2,HS3ST5,LINC02930,DAAM2,ABCA1,DPYD-AS1,LOC105378311,MYO15B,SUCLG2-DT
172,HHATL,VSIG4,LINC01482,MCAM,B3GNT5,CYTH4,LUCAT1,RIN3,F13A1,ALDH1A1,NWD1,ST6GAL1,THEMIS,SRGAP2B,CASP10,MT3,IL18,ENOX2,LINC01931,HIF1A-AS3,CTSZ,PIP4K2A,NDST4,NLRC5
173,LRMDA,TANC1,SELE,TLL1,TAC1,CPVL,NEDD9,TGFB1,PDGFRB,CDC14A,NPFFR2,NPL,TYMP,COL25A1,CEMIP,NEK3,ABTB3,ADAMTS18,ELF1,BTG2,BMP2K,PLEKHH1,SLC2A1,LDB3
174,IGHG3,DHRS9,LINC01411,ENTREP1,TAL1,EMID1,SRGAP2,MIR3667HG,LUCAT1,SEMA5A,LINC02694,SLC16A9,TBC1D16,ATP13A4,NKAIN3,CEMIP,HSPA1B,SLC1A2,TRPC3,KLRF1,LOC613266,ACSL1,LOC105376244,LINC00511
175,CDKN2B-AS1,PLCE1,TRPC6,GSN,CMTM7,TYMP,LHCGR,TMEM71,SLC1A2,CEMIP,CBR1,ZBTB20-AS5,LINC03048,AGBL1,PLCH1,HS3ST4,GLIS3,SUCLG2,DLC1,NKAIN3,SCD,SLC19A1,LINC02232,PROX1-AS1
176,LAMA1,SUCLG2,GPR183,SOX6,ELMO1-AS1,MIR325HG,LINC01630,ROBO2,FPR3,VRK2,PELI1,MX2,SHISA8,GALNT15,USP6NL,PLEKHG3,TRIM56,ADAM33,SVEP1,LMO2,ACSS3,LHFPL3-AS1,TGM2,SVEP1
177,TRPC3,IPO9-AS1,LINC00276,ZFHX3,ST6GAL1,LTC4S,CIITA,ANOS1,GPR183,FAM149A,SKAP1,TRAF3IP3,CLDND1,ENPP2,NDUFA4L2,MARCKSL1,LRMDA,SPTLC3,HAPLN2,CFAP418-AS1,HAPLN2,CLDND1,PCDH9-AS2,HYCC1
178,HEPACAM,IL21R,MYO1F,DISC1,HISLA,MAP3K8,LOC101927745,KCNK13,CCK,LOC728158,GLIS3,CYSLTR1,EDA,KCNK13,SLC7A14-AS1,MTUS1,STOM,TMEM123,SLC7A11,IL1RAPL2,CD163L1,SEMA6A,CPAMD8,ST6GAL1
179,ARHGAP22,CR1,C8orf34,TMEM235,EBI3,CNKSR3,LDB3,FERMT1,SYNPR,B4GALT1,HSPB8,ADAM12,LINC02649,XRCC4,LINC00511,WDR49,LINC00472,NFATC2,PAMR1,NDST4,DCN,TTN,NOTCH2,SIGLEC1
180,CYP27A1,SVEP1,FAM20A,IPCEF1,PDE1C,ID3,SPON1,LOC613266,LOC100506474,THBS2,ABCA1,TRPC3,LOC101926964,NPL,GPR183,HLA-DRB1,MROH9,LRP4-AS1,MSR1,CD82,KCNIP1,TPRG1,ENTREP1,IRAG1
181,MBNL3,KLF2,CYSLTR1,UCP2,LINC01090,TP53TG5,HIPK2,CBR1,PLD1,TF,LINC02999,NDRG1,LOC613266,WWTR1,BMP7,PAMR1,MGST1,LOC105377448,SCD,SEMA6A-AS1,SPI1,ADGRL4,CCDC26,PDE4B
182,SLC16A9,TLL1,LINC02008,MYO1E,ITK,PCED1B,TRAF3IP3,CARTPT,NKAIN3,LINC01416,LINC00298,ATP8B4,FAM149A,HS3ST2,ZNRF3,NPL,SLCO1B1,CFAP47,P2RY12,FPR3,CD55,ZNF385D,LIF,TENT5A
183,OSMR,RAB31,SPI1,CDKN1A,PRR5L,PLCE1,GPR183,MATN1,LDLRAD3,LINC00472,LOC100507336,TFRC,DOCK2,LINC01179,FGF13,ETNPPL,PAMR1,LINC03048,TAGLN,ENOX2,SGCZ,LOC101930421,LINC01090,ATP8B4
184,TGFB1,CPB2-AS1,KAT2B,LOC101927948,HIPK2,NKD1,HSPA1A,ABI3BP,SERPINB9,TLR10,PHLDB1,ARHGEF26,CPQ,GPR37,ROR2,RHOJ,THSD7B,CTSZ,LPCAT2,LINC02240,FGD3,H2BC4,ACSS3,ZNF385D-AS2
185,EPAS1,CHD7,UST,HHIP,SOX10,SGCZ,FAXDC2,SLC2A1,C8orf34,P2RY12,NAMPT,MT3,CD4,DOCK10,ACACB,DBNDD2,RNF125,SAT1,ADAM12,CA2,RFX4,ARHGAP24,ST8SIA6,GPR183
186,C8orf34,DISP1,ATP8B4,GRIN2C,LINC01505,LINC01748,LINC01060,IL1R1,RANBP3L,ANXA3,SUCLG2-DT,CCDC200,SLC44A1,ZBTB20-AS5,NTN1,PDGFB,CNKSR3,HHATL,DENND3,CPNE2,ABCC4,FREM2,GPR65,RASGRP3
187,TTYH2,MIR223HG,NTN1,ARHGAP30,SLC7A2,TBX15,LAMA3,BCL6,ENTREP1,CTSZ,ANOS1,CCDC26,ADAMTS14,LRP4-AS1,MGC4859,RUNX2,HEY2-AS1,PRIMA1,CYP1B1,HSPA1B,SHISA6,ADIRF,PDGFRB,EFEMP1
188,FIRRE,LILRB1,LRIG1,PDLIM1,SUCLG2,TM4SF1,PTGS1,NEDD9,WDR49,NPSR1-AS1,MT3,LOC101927745,FAM20A,CTXND1,LINC02930,RPS6KA1,PDE3A,AZGP1,MARCHF3,SGCZ,SIGLEC1,HPSE2,SRGN,ERBIN
189,DBNDD2,S100B,PGM5,LINC02642,CPB2-AS1,CLEC5A,KIF26B,USP53,SAMD4A,LPAR6,EMID1,LINC01091,FAM114A1,XYLT1,LOC105374524,HIF1A,PRKCQ,CR1,FBN2,STK32A,PPFIBP2,HSPA2,RMST,AASS
190,ID3,OAF,BACH1,PDGFD,MYO1F,FMO2,PGM5,LOC107984203,WDFY4,PNOC,LYN,EGLN3,PALD1,KLRF1,PLIN5,TMEM176B,GNA14-AS1,EYS,FLT1,SOCS6,SLC16A1,LAMA4,PLAAT3,NOSTRIN
191,TIMP3,NIBAN1,NPL,ANO2,DLEU1,TNFRSF11B,PRUNE2,CDKN1C,ST6GALNAC3,NPL,CTSZ,LOC100506474,MATN1,LINC00276,ITM2A,ARHGAP45,LHFPL2,LOC124903183,CD163L1,UTRN,EYA2,AKAP13,ABCA1,SPON1
192,HEY2-AS1,H2AC6,TACR1,SAMMSON,PITPNC1,LMNTD1,XRCC4,DPP10,SOX10,LINC03069,PCDH15,TNFRSF10B,ELOVL7,DIPK2B,CMTM8,LINC01876,MOG,EBI3,GPR183,ADIPOR2,RBPMS,ACSS3,S100A8,DISC1FP1
193,LPAR6,PSTPIP2,DDR2,TBC1D16,DPYD-AS1,LOC101927560,LDLRAD3,PARD3,KCNIP1,CBR1,SLC16A1,NCKAP1L,HYCC1,GNB4,ATP11C,ELMO1,LINC01090,XRCC4,PRRX1,ITGA2,HIF1A-AS3,XYLT1,LPAR6,DOCK1
194,LINC01931,BEST1,LINC02328,ZNF98,TACR1,IFITM3,GLDN,SSPN,PDGFB,LOC105370315,SLAIN1,TAGLN,MARCHF3,IL18,LINC01411,CD69,LINC00511,RASAL3,NTN1,KCNQ1,DDX60L,CPVL,CLEC9A,CD36
195,CALCRL,CDH23,LINC03048,ADGRG1,CD96,S100A9,CTSZ,CEMIP,CTSC,ENG,USP6NL,LOC105377862,WWTR1,TNFRSF11B,SLC2A3,COL25A1,LOC102724289,GLDN,ATP8B4,NEK3,PDE4B,NRXN1-DT,ST6GALNAC3,CIITA
196,PPP1R3C,H1-3,ELF1,FAXDC2,FAM149A,SDK1,LINC02263,SEPTIN4-AS1,MARCKSL1,ADAMTS6,PALD1,FAXDC2,FGF1,SLC16A9,RNASET2,GLDN,PTCHD4,TRPC3,FAM20A,RYR3,TENT5A,HLA-A,CREB5,SOCS6
197,NHSL1,UST,FGF13,IFI16,CPM,UGT8,PLD1,NPSR1-AS1,LINC02328,LOC105370532,DISP1,SEMA6A,FOXP2,SHISA6,ZFHX3,A2M,HLA-DMB,SLC11A1,TLR1,SST,A2M,NOS1,ARHGAP15,CPVL
198,WIPF1,H2BC11,PALD1,ALK,GPR37,CRYAB,KCNN3,SIGLEC1,ADAM12,CD4,AQP4,S100A10,SVEP1,COL4A1,ENO4,IER3,ZNRF3,EPAS1,RNF125,TGFB1,DDR2,LINC02930,CD14,TMEM123
199,NDST4,FAM177B,CMTM7,LOC105373170,RHBDF2,CHI3L1,LINC01090,CMTM7,COL4A1,BAG3,FAM114A1,SOX10,PTGS1,LINC01505,AOAH,SLC1A5,TANC1,OLR1,HGF,EYA2,ATF3,PLTP,BNC2,ANKRD44
200,PLSCR1,LOC102724289,SLC6A13,SLC31A2,LINC00276,PLPP2,STARD13-AS,XYLT1,ADCY7,FAM114A1,BCAN,RASGRP3,OSMR,PTPRZ1,LHFPL3-AS1,RGS10,RYR3,PRELID2,NXPH2,RPS6KA1,DISC1FP1,BCHE,SAMD3,ATP10B
201,TNC,SIGLEC9,SIGLEC1,TMEM98,MAP3K8,B2M,SOX10,PNOC,SLC6A13,WWTR1,CP,DDR2,COL5A3,ADAM12,SAMD4A,BHLHE41,LDB3,NEDD9,PHF21B,ATP8B4,LINC02930,HTR2C,SGO1-AS1,SUCLG2
202,LOC105376244,ADIPOR2,LDLRAD3,COLEC12,TBX15,P2RY14,SLC44A1,DHRS9,LOC105374524,CMTM8,LINC01090,CHRM2,LHCGR,RIPOR3,MOBP,RASGEF1C,SLC2A5,MT3,TGFB2,LOC105373170,LINC02882,GPR34,PPFIBP2,NDST4
203,TLR2,ZBTB20-AS5,PWRN1,LOC102546299,LAMA4,ISM1,NRXN1-DT,GPRIN3,LINC01091,GPR183,TAC3,SINHCAF,ZFHX3,NPFFR2,TBC1D16,SLC25A13,COL15A1,ADIPOR2,MTUS1,LINC03013,LINC02798,RNF144B,COL9A1,DPYD-AS1
204,ACSS3,LINC01375,F13A1,LINC00351,SEMA6A-AS1,MEGF10,MIR3667HG,SV2C,STK33,SLC1A2,CYP1B1,ST6GALNAC3,EDN1,ERBB4,WWTR1,SLC6A13,DLC1,HPSE2,SLC27A6,ITGAL,GNLY,LINC00609,TRPC3,KCNH8
205,FREM2,HSPA6,HHATL,LTBP1,BHLHE41,LINC01060,SUCLG2-DT,LINC01931,COL5A3,LHFPL2,POLR2F,ALOX5,ITM2A,THBS1,MT3,ZBTB20-AS5,PLAAT3,LINC02882,SLC19A1,ALK,LOC105369147,GBP2,GLI3,NPL
206,PAX6-AS1,XRCC4,MYO5B,LINC01221,XRCC4,SCD,HISLA,PDE8A,PKP2,CD83,MYO5B,LINC01748,MAP3K8,SPATA22,STK33,PLEKHA7,SVIL,HMCN1,WWTR1,ALDH1A1,SLC16A9,MAN2A1,TCF7L1,NID1
207,LINC01630,LOC102546299,NPSR1-AS1,MT1E,CBR1,VAV3,RASGRP3,PLCH1,TFRC,LINC01877,FAXDC2,TYMP,HIF1A,LINC00463,CRYAB,TMEM144,TBC1D16,PSD2,PDE3A,ITGB2-AS1,NLRC5,GPR37,HIF3A,LOC105369147
208,FGF13,SLC7A7,GLDN,S100Z,NRXN1-DT,SLC35F4,TYMP,KMO,ACSL1,COL9A1,LINC02240,EPAS1,HGF,BTG2,CFTR,TSPAN15,RNF152,RGS20,SST,AKR1C2,BCHE,DHRS3,ADAP2,KAT2B
209,ZCCHC24,LOC107984203,CD96,PLP1,SLC31A2,PTCHD4,TMEM123,SLC27A6,RNASET2,MGAM,GNA14-AS1,SAMD4A,PCDH11Y,ADGRD1,SLC14A1,SYNPR,CARTPT,NDNF,ENTREP1,FGD3,PSTPIP2,TIE1,LY96,MYO5B
210,B3GNT5,HTR2C,ADAMTS9,TNS1,LURAP1L-AS1,AGT,CRH,LINC01446,ALOX5,PCED1B-AS1,LOC613266,KAT2B,LINC03069,LINC00472,NAMPT,FAM114A1,PARD3B,LYL1,CD55,GRIN3A,FERMT1,DEPP1,PLPPR1,LCP1
211,FN1,KLRF1,ZFHX3,LOC105373347,RGS5,PLEKHH1,LMO2,LINC01877,NPFFR2,TLR1,BBOX1,ADCY7,NDUFA4L2,PALD1,LINC02882,PGM5,LOC105373335,HLA-DOA,FGF2,PELI1,RERG,PAMR1,PLEKHH1,HDAC2-AS2
212,CD53,MBNL3,MMD2,TACR1,HMCN1,MUSK,STK33,SIGLEC10,MYO5B,SCD,ZNF366,NEK3,LY86,LGR5,FN1,LINC01090,SIGLEC1,SLC6A13,SULF2,TXNIP,IFI27,LINC00511,C1orf87,CTSC
213,MGAM,PCDH9-AS2,BBOX1,SLC16A1,CD83,CRIP1,LINC00298,NOSTRIN,SELE,ARHGEF26,LINC00276,MYO1F,IL18RAP,PDE3A,PDGFRA,GCNT2,GCNT2,MKRN3,TLL1,ENPP2,CHRNA7,RBPMS,ITGB4,GLIS3
214,SERPINB9,OTULINL,XRCC4,PDE4B,LNC-LBCS,PLAAT3,ZNRF3,LOC105373335,CNKSR3,TBC1D16,FGD2,CP,CHRNA7,ADAMTS18,TMEM144,CLIC4,STK32B,ZBTB20-AS5,LAMA4,L3MBTL4,IER3,LINC01445,KANK1,CEBPD
215,PHLDB1,PDE1C,ELMO1-AS1,DENND3,JUNB,IFI27,IPCEF1,LURAP1L-AS1,MOBP,BACH1,TRAF3IP3,PALD1,CD53,TAF11L14,KMO,PWRN1,EMC10,THBS1,ZNRF3,HILPDA,LINC01091,UCP2,VCAN-AS1,LOC105377448
216,SERPINE1,PLEKHG3,TF,FGD3,ABCC9,S100A10,ZBTB20,SIGLEC9,TMEM123,KIF26B,RHOU,HAPLN2,RIN2,ZNF804A,SLC11A1,SHISA8,MYT1,LAMA3,ZBTB20-AS5,BHLHE41,ERBB3,ABCC9,PARD3,DDX60L
217,MAN2A1,SERPINH1,CP,LINC01090,CRYBG3,ALOX5,RCSD1,CIITA,HLA-C,MORC1,SLC11A1,RGCC,KCNH8,BCHE,ADGRG6,LINC02057,PRR5L,CEMIP,SIGLEC1,HIF3A,EMID1,PAQR5,ACSS1,RAB31
218,CHRM5,SERPINB9,WDR49,BTG2,TLR1,LINC02263,HSPB8,SINHCAF,GLDN,TIMP3,CD55,LYVE1,ITPKB,ZNF385D-AS2,PDE7B-AS1,TIE1,IGHG1,LINC01090,MT3,BACH1,IL21R,S100B,IL32,CPQ
219,LY96,RGS10,ADCY7,RNF125,ITGA2,ROBO2,NDRG1,ACACB,GPC3,SIGLEC1,SLC25A13,CHRM5,EPAS1,GNA14-AS1,CHRNA7,GLI3,SLC6A12-AS1,CYP1B1,TBC1D16,IFNG-AS1,TASL,PLCH1,LDLRAD3,SYT6
220,CLDN11,KCNQ1,PLEKHH1,MBNL3,HS3ST2,ANKRD44,SIGLEC1,FGD2,GPR34,MS4A4A,NTN1,ISM1,CAVIN2,HLA-DQA1,CYP4F12,LINC00548,ADAMTS1,VCAN,RNF152,LPAR6,MT3,LOC613266,CDH19,ITM2A
221,HLA-E,LINC02240,ITM2A,MIR646HG,ADAM28,PDE1C,PARP4,MGP,CACNG5,ERBB3,CPVL,CIITA,PRAM1,HPN-AS1,DENND3,GALNT15,CA2,LYPD6,ANKRD37,ETS1,POLR2F,KCNQ1,PARP9,ACSL1
222,SELENOP,SGCZ,LINC02882,TRAF3IP3,SRGAP2B,PDE7B-AS1,SLC6A20,TRIM56,LINC02057,CDK18,RNF125,EBI3,SYNE2,COL4A4,CST3,NCKAP1L,USP6NL,CLIC3,SLC4A4,ANKRD44,CARTPT,BTK,LRIG1,ARHGEF26
223,AGT,GAB3,ZNF804B,PREX1,ARHGAP45,JCHAIN,SUCLG2,ENG,LINC01931,ZBTB20-AS5,ATP1A2,CNTN5,NHSL1,TRAF3IP3,PDK4,PLEKHH1,LINC01608,LOC105373170,TRAF3IP3,STARD13-AS,LINC02694,SLC26A5-AS1,FAM20A,B4GALT1
224,IFI44,ARHGAP25,SUCLG2,TGFB1,LOC105370315,SLC52A3,ELMO1-AS1,LINC00968,TTN,SYNPR,TM4SF1,LDB3,CBR1,DCN,ADAMTS4,OTULINL,FOS,TMIGD3,WNT5A,QDPR,AOAH,PLEKHA7,EFEMP1,RNF144B
225,MT1A,CNR1,PLPP4,SVIL,COL6A2,CCDC26,ADAM12,KCNN3,SCHLAP1,CAPN3,SPI1,GPC3,APBB1IP,SMOC1,GPR34,MGC4859,HES5,LINC02240,LOC107984203,LINC00298,CIITA,EMCN,MYOF,FAM149A
226,SLC1A2,LMO2,LDB3,IRAG1,RNF152,HEPACAM,EMC10,FAM149A,HIPK2,CRISPLD2,TRPM3,FGF13,LOC105373335,LRP2,PRUNE2,PTAFR,PITPNC1,MCTP2,STOM,ZBTB20-AS5,CPED1,GPRIN3,ADAM28,NDUFA4L2
227,RNF125,LST1,TMEM163,CALCRL,NTN1,MOG,KIAA1217,LYZ,FGF13,DISP1,CFTR,NTN1,IPCEF1,IRAG1,SHISA8,STK32B,LOC101927560,PHLPP1,BAG3,TP53TG5,SVIL,RIN2,TLL1,COL4A4
228,RGR,CD163L1,ETS1,PRAM1,LAMA3,TENM1,RNF220,LDLRAD3,ADGRD1,LINC02999,EPS8,AOAH,P2RY13,OBI1-AS1,XRCC4,RIN2,NWD1,LAIR1,CBR1,LOC100506474,ADAMTS18,KIF6,FENDRR,ZFHX3
229,ANOS1,SOX6,LUCAT1,GNB4,SIGLEC7,NR2F2-AS1,PLEKHA7,ADAMTS18,PHLPP1,BCAN,PDGFRB,THBS1,SSPN,ELMO1-AS1,FPR3,SLC19A1,PGR,RIN3,CP,SNTB1,NIBAN1,PTPRZ1,MGAM,PLD1
230,PDE1C,MS4A4E,LINC02072,DOCK10,CD55,WIPF1,ELF1,TRG-AS1,HILPDA,SLC16A12,LAMA4,GNA14-AS1,MIR646HG,SLC6A13,MAP3K8,LAT2,FGF1,NPL,L3MBTL4,SRGAP1,PLTP,CDKN2B-AS1,PRAM1,ACSS3
231,FCGBP,CLEC9A,NR4A3,SRGN,COL5A3,BAG3,SOCS6,EMCN,GNA14-AS1,PLD1,MS4A1,EYA1,CD163L1,HEYL,PALM2AKAP2,ALOX5,PLAC8,HLA-DMB,LHFPL3,SUCLG2-DT,CYTH4,KCNMB1,SEMA5A,TLL1
232,CD68,IL18,SLCO2B1,RGS12,ADIPOR2,SERPINH1,RNASE1,TMTC2,OLR1,ADGRD1,SLC2A1,CCL3L1,PTH1R,LINC00511,GCNT2,SLC2A1,HLA-E,CDKN1C,MCAM,RMST,ZBTB20-AS5,LPAR1,XAF1,BAG3
233,SLC25A13,CNTN5,CPQ,LINC01876,TNFAIP3,HLA-A,LURAP1L-AS1,COL9A1,CRH,PTGS1,CAPN3,PDE8A,SOCS6,TNS1,ADM,SLC7A5,MYO15B,CD36,TRIM59,ADM,PHLDB1,LINC02473,ATP8B4,GLDN
234,MT1F,COL4A5,SERPINB9,CCDC13-AS1,FTL,CDH23,SP110,FGFR2,LDB3,VAV1,TGFBI,CPA6,ARHGAP15,EMP2,CEBPD,LDB3,HDAC2-AS2,HPGDS,SLC2A3,TMEM144,ITPR2,LOC105377862,GAD2,LINC02008
235,HLA-C,DHRS3,H2BC18,PLA2G4A,THEMIS,MYO1F,GASK1B-AS1,QDPR,CBR1,DOCK1,B4GALT1,IL21R,S100A10,HSPB8,RASAL3,XRCC4,LINC00639,CNKSR3,C8orf34,SVEP1,HILPDA,GIMAP5,ADGRL4,ALOX5
236,MKRN3,SLC19A1,PHLPP1,TGFBR1,WWTR1,PSTPIP2,SLCO2B1,AXL,FAM222A-AS1,SOCS6,SP110,PPP1R3C,SOX10,RASGEF1C,CALCRL,TLR6,GSN,ATP6V0D2,CABLES1,CHRM5,ADIRF,LINC00968,S100B,LINC02882
237,ABTB2,SUCNR1,SLC11A1,HEY2-AS1,MT1M,BEST1,VCAN-AS1,SHISA6,LINC02649,LRRC1,PLSCR1,PIP4K2A,LOC107984203,MID1,PELI1,SEMA6A-AS1,SLC6A20,LINC00472,LINC00511,ARHGAP24,BHLHE41,PSTPIP2,MRC2,PCED1B
238,PREX2,LINC02328,NINJ2,CBR1,CHODL,IPCEF1,PCSK6,NRXN1-DT,LINC03048,RAB20,CYBB,CD36,ZBTB20-AS5,AGA-DT,TSC22D4,FGD3,ENTREP1,KCTD12,IFI44,IRAK3,PADI2,MKRN3,DLC1,P2RY12
239,SERPINA3,FGF13,THSD4,FPR3,CTSC,LINC02232,LINC01931,TMEM165,TAFA4,COL4A1,PTN,NPY,HLA-DRB1,TNFRSF10B,BMPR1B,VEGFA,FA2H,PDGFRA,LRMDA,EPSTI1,BBOX1,EYA4,LOC101927141,LNC-LBCS
240,RAB20,CPED1,NCKAP1L,IL1A,ELOVL7,HSPB1,GADD45B,SOX10,LRP4-AS1,ST6GALNAC3,CLEC12A,ITM2A,TBX15,NWD1,SLC1A5,FOS,ELMO1,LUCAT1,BHLHE41,BMP6,GAD2,ITPKB,WHRN,LAMP2
241,NKAIN3,SOCS6,ADAM28,THEMIS,VAV3,PRKCQ,LINC02649,ABCC9,PLEKHA7,SIGLEC9,LINC01416,CDH23,LINC01317,PDGFB,ATP10B,AEBP1,MEPE,DIPK1C,LINC01374,MLC1,C5orf64,LOC105370315,BCAN,CD82
242,FAM149A,ADGRL4,LMCD1-AS1,CPB1,PRIMA1,ABCC9,STOM,EVA1B,PCED1B-AS1,CP,CX3CR1,CDKN2B-AS1,NPSR1-AS1,LRRC1,HTR2C,SYNE2,PAICS,SKAP1,MBP,B2M,FOLH1,CYP1B1,PBX3,LINC02328
243,CYBRD1,LILRB5,ALK,LPAR6,RNASE1,APCDD1,LAMA2,NOTCH3,TYMP,CYSLTR1,MBNL3,TOP2A,SPATA22,SELE,LUCAT1,IL13RA1,ADAMTS4,CPB2-AS1,GBP2,CHRM2,EFEMP1,NAMPT,LOC101927314,NR2F2-AS1
244,CYSLTR2,ITGB2-AS1,LOC101927026,TRG-AS1,CCR1,SYNPR,HIGD1B,P2RY13,CPVL,ANKRD44,ADAM12,GLIS3,SLC5A11,MAP3K8,TAC1,STK33,TLR10,MIR325HG,FAM149A,LINC03048,TMEM144,CBR1,MROH9,ELMO1
245,ITPR2,SHISA8,TMEM144,TAC1,TLR6,KIAA1217,WDR49,IL1R2,PLPP4,SUCLG2-DT,CNR1,ZNF366,HLA-DMB,ALK,ENTPD1,STON2,HYCC1,TNFRSF10B,MIR4527HG,MTUS1,PTCHD4,SPATA13,AOAH,C4orf19
246,CLEC5A,IL1A,SFMBT2,SST,ROR2,STEAP4,LRIG1,ARHGAP31,PGM5,GPR34,HSPA1B,LINC02328,GPR34,HIF1A-AS3,NOTCH2,MS4A4A,HES1,CSF2RA,DCN,CRYAB,RAB31,IL1RN,LINC00924,ZHX2
247,RERG,ACP3,KCNK13,PAICS,LINC02930,CLEC9A,SPHKAP,H2BC11,ID4,HIPK2,LINC00540,GRIN2C,FHL5,MCTP2,ABI3BP,SLC31A2,ADAMTS17,LINC03002,IQGAP2,SFMBT2,CYSLTR1,DOCK2,TMTC2,PGM5
248,BMP7,MYO16,MTUS1,EMX2OS,CD38,SLC16A1,BACH1,LINC01470,BCAN,SERPINH1,A2M,LINC02712,CMTM7,LDLRAD3,MAN2A1,LOC100507336,LINC02008,PLEKHG3,NAMPT,ST6GALNAC3,SLC7A11,HHATL,PTAFR,CD58
249,COL25A1,LAMA2,CCL5,NRXN1-DT,USP53,HLA-DRB5,OLR1,SLC6A13,SLC9A9,PWRN1,TGIF2,MIR4300HG,LOC101927026,CYSLTR2,JUNB,ABCA2,SST,ZCCHC24,OAF,CHST9,FAT4,MROCKI,ACSM5,NXPH2
250,LOC101926964,CCK,DLC1,SSPN,KCNE4,CAPN3,LOC107985126,HTR2C,SLC2A3,SLC16A9,ALPK1,ATF3,NAMPT,NTN1,LPAR1,RBPMS,SRPX2,ARHGAP42,LDB3,LINC01299,FGF2,LINC02884,TMEM71,SLC16A9
251,COLEC12,ADAM28,NUPR1,ANGPTL4,SIRPB2,ARHGAP45,ABTB2,HPSE2,MEGF11,LOC107984203,PTGS1,SLC2A1,DBNDD2,SIRPD,PTAFR,PTN,MIR325HG,SPON1,LCP1,IL10RA,RASGEF1C,RIN3,HLA-DOA,SYNE2
252,DOCK10,DOCK10,TRPC3,HEPACAM,H2BC18,STAB1,PHLPP1,EVI2A,NDST4,PACRG-AS3,DLC1,LOC101926964,SAMD9L,LOC101928516,THSD7A,LINC03002,PI16,BLNK,LAMA2,VEGFA,MOBP,NOTCH2,SUCLG2-DT,PELI1
253,ANXA8,BHLHE41,CHRM2,HIF1A-AS3,SGO1-AS1,SLC7A7,COL25A1,HIGD1B,PHLDB1,LINC00511,GADD45B,RANBP3L,XYLT1,LINC02055,DISC1,NDE1,TCF7L1,RGS18,PRUNE2,TPD52L1,LOC105377448,TLR6,PDE8A,PLEKHG3
254,SEPTIN4-AS1,EYS,LOC105371366,MYO1G,SCD,KYNU,SV2C,COL4A4,LINC02997,SVEP1,RHOH,KCNIP1,ISM1,TNC,FREM2,LHFPL3-AS1,ZFP36L2,FERMT1,LOC105369147,DLEU1,H2BC18,ATP1B2,OBI1-AS1,LINC02263
255,CHI3L1,HS3ST5,GPR34,DPP10-AS3,LOC613266,APOE,LYPD6,GPR149,ZBTB20-AS5,PLA1A,CMKLR1,NCF2,SLC2A1,ANXA8,CPB1,CD48,RASSF2,RASGRP3,LINC01416,SLC9A9,EDN1,CDKN1C,MYO5B,SLC44A1
256,GPR183,MRC2,TNFRSF10B,CRH,NEDD9,HBA1,WWTR1,TMEM144,CCL5,PCA3,FPR3,NPSR1-AS1,CCL19,HIP1,DLEU1,TNC,PRKCH,LINC01931,SUCLG2-DT,SAMSN1,LINC01090,RGS18,LAMA4,HLA-DRB1
257,DDIT4,CD14,LOC107984203,HTR2C,SMOC1,PDK4,RERG,LOC100506474,LOC107985126,ATP1B2,CXCL3,PDGFRB,LINC01374,SOX10,MYO16,HSPB8,RGS12,USP6NL,VAV3,DEPP1,WIF1,COL9A2,HHIP,CBR1
258,ZHX2,TTYH2,KLHL1,CYP1B1,LAMA1,ERBB4,SLC7A5,ADAMTSL1,GPR37,PRAM1,CLEC7A,HLA-DQA1,KCNK13,CAPN3,FGR,GNLY,LAMA4,CDC42EP4,LMCD1-AS1,FN1,SLC44A1,STK33,SEPTIN4-AS1,DENND3
259,PBX3,ITGA6,EDN1,TAC3,CCDC26,EPB42,ADCY7,ZFHX4-AS1,ABTB2,MT3,IFI27,NOSTRIN,SPI1,HLA-C,CDKN1C,PHLPP1,LPAR1,EGLN3,LYPD6,LAMA3,SH3BP4,PI16,IRAK3,PLIN5
260,SCHLAP1,CTNNA3,ATP10B,BEST3,TAGLN,CXCL14,JUNB,ADAM28,HLA-DMB,LDB3,EMC10,H2BC18,LDLRAD3,FCMR,ADGRE2,CLMN,NDE1,PARD3,CYSLTR2,GZMA,DPP10,FOS,KCNIP1,MYO1F
261,ALOX5,MNDA,SOX10,SLC35D2,DOCK1,FENDRR,LRP4-AS1,LOC101929626,CPAMD8,LINC01505,OBI1-AS1,ENOX2,CDK18,HILPDA,SOCS6,LY96,FGF13,FPR3,CHRNA7,CARTPT,MBP,SLC44A1,BMP2K,AGBL1
262,SGCZ,LINC01876,ABTB2,MEGF11,FAM114A1,LRP4-AS1,LMCD1-AS1,MROH9,BLNK,IFNG,CLCA4,KCTD12,CD74,SUCNR1,PARP9,PLTP,AXL,POLR2F,MEGF11,LOC101930421,PLEKHG3,YBX3,DDX60L,BEST3
