,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
104,GPC5,INPP5D,GALNT15,LOC124904701,RBPMS,HIF1A-AS3,KCNQ1,LINC00472,GNG12-AS1,RIN3,CABLES1,FAM149A,PKP2,PDZRN4,MGST1,SLC44A1,TMEM163,P2RY12,SPHKAP,PREX2,PTPRZ1,PAICS,MIR325HG,FAM222A-AS1
105,TGFBR1,LY96,LINC01876,PLLP,LOC101927745,EYA4,FGF13,FAM222A-AS1,SVIL,ATP8B4,NR4A3,SEMA6A-AS1,SGCZ,STK33,LPAR6,LOC105377448,A2M,SERPINB9,LINC01060,LMNTD1,SLC26A5-AS1,CHI3L2,TMEM51,SLC7A11
106,HS3ST5,B3GNT5,SUCLG2-DT,LINC02473,USP6NL,ABCC4,NCKAP1L,CTSC,LINC00298,ADIPOR2,MT1X,SLC44A1,KMO,LPAR6,ACSL1,B4GALT1,SLC1A3,MIR646HG,BCAN,PIP4K2A,IL18,SVIL,LINC02694,KIF26B
107,SRPX2,MRC1,PACRG-AS3,LOC101930421,ADGRD1,PLD5,MT3,MYO1F,CFAP418-AS1,PLEKHA7,PDGFB,NPAS3,SDK1,MIR3681HG,NOS1,CA2,SHOC1,MIR3667HG,TTN,LINC02930,TANC1,HDAC2-AS2,THBS2,HEPN1
108,TAGLN,LPAR6,COL4A1,ST18,CLIC4,ENPP2,FGF1,CP,LOC105373335,QDPR,PLEKHA7,LINC02930,LPAR6,CD36,ANGPT2,FPR3,ROR2,CT69,LURAP1L-AS1,P2RY14,FGD4,PHLDB1,SLC27A6,ARHGAP42
109,CPB2,LOC105376219,PAICS,LAMA2,SPI1,LOC283194,PTCHD4,CLDND1,RAB31,MYO1F,NKAIN3,NR4A3,PDE8A,THEMIS,PIP4K2A,TAGLN,ALDH1L1,ATP8B4,ADAMTS9,CLDND1,PDE7B-AS1,SLC24A3,ITPKB,KCNMB1
110,SAMD9L,NCKAP1L,ANO2,RNASE1,CLDND1,LINC01630,SLC2A3,RBPMS,LINC01876,NTN1,TMEM163,CALCRL,LDB3,LINC01630,MIR325HG,CP,SLC7A11,LINC00511,PCDH11Y,FBXL7,NEDD9,LRP4-AS1,PCSK6,LOC105373335
111,BMPR1B,LPAR1,FN1,VWF,TP53TG5,VRK2,LINC01482,PLEKHA7,MBP,SLC25A13,OLR1,ACSL1,PLEKHA7,CYTH4,TMTC2,ZNRF3,MYO16,PLPP4,QDPR,NR4A3,FAM222A-AS1,EYS,TMEM144,LOC101927745
112,PLD5,IL1B,MEGF11,ADAMTS4,LOC105377448,CALCRL,MOBP,LINC00298,TLL1,PHLPP1,PACRG-AS3,SLC4A4,MEGF11,LINC01470,HIF1A-AS3,HDAC2-AS2,SLC25A13,CLDN11,LAMP2,CFAP47,ZBTB20,FAM20A,PHF21B,LINC03048
113,TNS1,ALPK1,HIF1A-AS3,PLPP3,PGM5,LINC01608,NAMPT,PRKCQ,SLAIN1,LY86,ALK,GPR37,PLD5,LINC00924,CLIC4,LINC01374,SPI1,SLC16A12,SLC24A3,LOC613266,ENTREP1,CMTM8,LOC124903183,ADAMTS6
114,SLC2A5,STAB1,IL18,CDH23,LINC00639,DHRS3,ADGRG1,HIP1,LINC02008,PARD3,RIN2,PAICS,FPR3,LNC-LBCS,PDE1C,WWTR1,DOCK2,COL25A1,PLPP4,SLC7A5,ADAMTSL1,TENT5A,C10orf90,PHLPP1
115,LYN,BACH1,HAPLN2,LOC728158,SRGN,SHOC1,RIN3,EYA4,COL21A1,CTSC,SLC4A4,TRPM3,GNA14,SUCLG2-DT,SLC2A1,STEAP4,LINC00298,MYO5B,FGF13,RFX4,LINC01505,LINC00276,LOC105369147,MCTP2
116,DLEU1,P2RY12,LINC01748,FIRRE,SLC22A3,ACSS3,ERBIN,SULF2,CDKN1C,IL18,FN1,LOC613266,LINC01088,LINC02328,HYCC1,VCAN,TIMP1,AGBL1,GAD2,NRXN1-DT,ENPP2,AOAH,CTXND1,SLC2A3
117,TMEM176B,STON2,ST6GAL1,ABCA8,NOS1,LYN,LYVE1,FREM2,CHI3L1,ADAMTS9,SNTB1,CFTR,CAPN3,PLEKHA7,CTSC,SLC11A1,SERPINA3,SVEP1,RGS5,ADAMTSL1,ANOS1,LINC01687,PLXDC2,DISP1
118,TMEM98,TMEM176B,FAXDC2,SLC6A12-AS1,HAPLN2,SH3TC2,CHRM5,MT1X,FN1,ENOX2,ZNRF3,PGM5,LAMA2,RAB31,MTUS1,GPR183,ITGA1,CLCA4,LRRC1,PDE8A,TAGLN,GNG12-AS1,SLC25A13,EYS
119,HIF1A-AS3,TFEB,MOBP,LINC01877,CPB2,EFEMP1,HDAC2-AS2,IRF8,LOC105378311,FPR3,UST,NDUFA4L2,PREX1,AKAP13,LINC03002,ISM1,NEK3,CP,CFTR,LINC02882,MYO10,S100A10,TNS3,CFAP418-AS1
120,GABRE,ITGAL,SLC7A11,GPR37L1,ADAMTS6,SEMA5A,ENTPD1,FN1,KMO,LAMA2,LNC-LBCS,ERBIN,LINC02232,LAMA4,ABTB3,LINC01091,PDE8A,PHLDB1,SLC16A1,MKRN3,TNFSF15,FCRL5,CD44,RUBCNL
