,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
212,NTNG1,TMEM71,LINC03013,HTR2C,EMP2,RUNX2,LINC01374,TNF,ARHGAP22,B2M,ITGA6,COL25A1,TFRC,RNASE1,USP6NL,LMCD1-AS1,LINC01482,CD83,CARNS1,FPR3,GAD2,SLC16A12,COLEC12,TAGLN
213,NCKAP5,NRXN1-DT,LINC02055,CABLES1,FPR3,CGNL1,NR4A3,CMTM7,LINC00499,ENO4,SLCO2B1,CPQ,CAPN3,CEBPD,GLDN,SLC6A13,MATN1,RGS16,ZBTB20,PPP1R14A,TMEM144,LINC01446,PREX2,SAT1
214,SOX6,ACY3,ALK,ABCG2,CYP1B1,CSRP1,EPAS1,CHRM5,MYO5B,CYSLTR1,USP6NL,PLEKHH2,ZNF385D-AS2,CHRNA7,CTSZ,CTXND1,ADAMTS6,SLC1A2,SOCS6,ASPA,NR2F2-AS1,DDR2,TNFAIP8,RIN3
215,SLC2A5,ATP10B,CCL4L2,GNB4,LURAP1L-AS1,NDUFA4L2,SUCLG2,KLF2,TAFA4,CLEC9A,DISC1FP1,WDR49,THBS2,KLHL1,LINC01411,NTN1,LOC613266,SYT6,MSR1,LOC105374524,PCSK5,AOAH,PSD2,CTSZ
216,ARHGAP6,HLA-DQA1,LAMA2,VCAN-AS1,SP110,LINC02072,AGA-DT,BTNL9,GPR37,ADAMTS18,PROX1-AS1,THBS1,NCKAP1L,JUNB,HILPDA,TYMP,SPI1,HLA-C,B2M,RHOU,MGST1,FOLH1,EMX2OS,PTGDS
217,P2RY13,MARCO,TIE1,AIF1L,SLC2A3,SERPINA3,CNP,HTR2C,GPC3,LRP4-AS1,IL10RA,EMCN,RHOU,LOC101927141,PPP1R14A,ENOX2,CPA6,NPY,NIBAN1,LINC01010,GNA14-AS1,LOC105373170,NCF2,MCAM
218,SVIL,MCTP2,BBOX1,ADAMTSL1,LDLRAD3,CNKSR3,SLC44A1,TNFSF10,PLP1,IRF8,SLA,TAC1,RYR3,TRG-AS1,NR4A3,CNP,BCAN,HIF3A,LINC01416,SVIL,PLP1,CA8,TLR2,GYPC
219,ID3,IL1A,GASK1B-AS1,LOC101927948,RIN2,SH3TC2-DT,BHLHE41,LINC01630,MERTK,ERBIN,SKAP1,AOAH,TMEM144,MYO5B,CPB2-AS1,PDGFB,KMO,LOC101929528,NPL,DOCK1,SRGAP2,MYO1G,OPALIN,PLP1
220,ZFP36L2,TREM2,AGA-DT,TAC3,SLC31A2,HBA2,RERG,NOSTRIN,ST6GAL1,CREB5,KAT2B,ENOX2,NPL,IQGAP2,TAC3,ETS1,CHRM5,DDIT4,STK33,HIGD1B,FPR3,SLC27A6,MX2,SUCLG2
221,CYP4F12,ST6GAL1,LINC02057,ZBTB20,MERTK,CHST9,ERBIN,STEAP4,ADIPOR2,CT69,LOC105370315,ITM2A,MT3,CH25H,CRYAB,ATP10B,GNA14-AS1,IL21R,THBS1,WDR49,FLT1,CERNA2,CGNL1,LINC00511
222,PRDM16-DT,RGS10,PLEKHA7,MIR646HG,ATP10A,F11-AS1,CHI3L1,CPB2-AS1,LINC02997,C8orf34,PIP4K2A,CPA6,SAMD9L,TMEM144,GNLY,FCRL5,MYH11,TFRC,ITGB5,KCNQ1,LINC01091,RGCC,RGS20,NPY
223,TMEM176B,SPHKAP,KCNQ1,TACR1,NPSR1-AS1,CLEC9A,EMC10,LINC01416,HES1,TIMP3,LINC01931,PLEKHA7,PARP14,ST6GAL1,PIP4K2A,GLUL,CCDC13-AS1,CST3,SIGLEC1,BCAN,IL17RA,HYCC1,ALK,IER3
224,LAMA1,NPY,TRPC6,LOC107985126,SEMA3B,BHLHE41,BLNK,CD36,JUNB,PIK3AP1,EVI2A,RNF220,AKR1C2,USP6NL,IER3,CRYAB,ZIC4,ADAMTS18,FAM114A1,ITGB2,MUSK,FPR3,IL1RAPL2,LINC01877
225,LINC02232,FGD2,PRELID2,SKAP1,LMNTD1,TAGLN,CD4,INPP5D,ACSL1,PPFIBP2,SNTB1,PGM5,EVI2A,PARP4,STEAP4,ITGA8,AKR1C2,LOC105374524,ST6GAL1,MPEG1,BHLHE41,FTL,LOC101929538,TMEM144
226,CD37,STARD13-AS,TRPC3,POU2AF1,TP53TG5,SGO1-AS1,PLEKHH1,C3AR1,DSEL-AS1,HIGD1B,TAC1,SLC25A13,NHSL1,RNF125,ENOX2,ANOS1,HK2,MKRN3,CABLES1,PADI2,PMP22,CST3,LINC01608,B2M
227,WDR49,KCNMB1,EYA1,LINC01060,RASGEF1C,CLEC2B,NKAIN3,OLR1,COBLL1,PDGFD,HAPLN2,GADD45B,SLC16A9,RUBCNL,TLR6,ABCA2,NTNG1,LOC124903183,CTSC,AKR1C2,LINC01374,CIITA,PPFIBP2,PHLPP1
228,MT1M,NLRP6,CHRNA7,ANO2,FAM149A,TLR1,RNASET2,SULF2,BTNL9,CMTM7,IL17RA,GPC3,ABCA1,ENPP2,LINC01099,SLC7A2,SYTL4,FRMD4B,WNT5A,SLC16A1,LINC00924,ADAMTSL1,LINC02899,LOC105371366
229,LOC107984203,RAB31,GLDN,PCED1B,OLIG1,MATN1,LINC02712,MIR3667HG,CYTH4,CIITA,LINC01416,PRUNE2,CLDND1,OSMR,LINC02694,LINC00499,SP100,ENPP2,TRPC6,SHISA8,LOC107984203,TYMP,SSPN,COL4A4
230,LOC102724289,PCDH9-AS2,COBLL1,LPCAT2,MT1X,PCK1,PLA2G4A,CD163L1,COL5A3,OTULINL,IL18R1,PLD1,SEMA6A,HILPDA,LOC101927314,NPL,LINC01411,RFTN2,F13A1,SLC27A6,ANKRD37,LUZP2,C1QC,LINC00299
231,MT1F,TMEM144,LINC00499,SLC7A7,PRIMA1,TFRC,SLC35F4,CFAP47,WWTR1,CHRM5,OBI1-AS1,PROX1-AS1,PCSK6,LINC03013,MMD2,LOC101926964,PALM2AKAP2,NLRC5,GRIN2C,PIEZO2,TMEM51,ATP11C,MGP,HEPACAM
232,MARCKSL1,PXK,FTL,PLA2G4A,STK33,FAM149A,OLR1,MITF,LINC00276,PCA3,RYR3,CSF2RA,LINC03048,IFNG-AS1,CPB1,ZC3HAV1,SP110,SLC2A3,LOC105373170,PITPNC1,LINC01630,FCRL5,TMTC2,SLC7A11
233,TLR2,CLEC7A,MKRN3,VWA1,ADAMTS4,SASH3,ZNF98,BACH1,NCKAP1L,KIF26B,AGA-DT,CCL4L2,RNASE1,NHSL1,NDUFA4L2,TAFA4,HMCN1,WIPF1,USP6NL,CEMIP,PREX2,LILRB4,EMP1,CD55
234,LINC03013,CCL4,ARHGAP25,CDH23,AQP1,AIF1L,MYO5B,P2RY13,EPAS1,SST,RASGRP3,NOSTRIN,FHL5,ATP13A4,LCP2,HMCN1,MOBP,XRCC4,SEPTIN4-AS1,PIP4K2A,NPY,CDH1,LDB3,LINC02694
235,AGA-DT,MYO5B,GNA14,H2AC19,KCNH8,CACNG5,ENPP2,WDFY4,LINC01411,ERBB3,SLC4A4,LINC01091,DDR2,GPR183,GLUL,SLC25A13,LOC100506474,HES1,PGM5,NR4A3,PLD5,PRKCQ,DDX60L,KCNH8
236,HS3ST4,CDKN2B-AS1,CD53,PDE7B-AS1,SOCS6,MUSK,BACH1,LINC02381,LOC101928516,CRH,SLC12A7,HBA2,HTR2C,VWA1,GASK1B-AS1,SST,FCGR2A,LTBP2,CLDND1,TAC1,ATP8B4,SRGAP2,LINC01876,VWA1
237,RUNX2,ITGAM,EMCN,MARCHF3,HCLS1,CLDN5,HLA-DPB1,MKRN3,HBA2,NIBAN1,THEMIS,XRCC4,OSMR,RGS12,NRXN1-DT,USP6NL,PGR,LTF,MYO10,SRGAP2,LDB3,APOC1,STK33,CD36
238,SLC24A3,FLVCR2,PLP1,HAPLN2,LOC105369147,ERBB3,LUCAT1,BEST3,SAMD4A,LINC01221,CYP1B1,GRIN2C,HHATL,EGLN3,SLC2A3,ELMO1,ADAM12,BCAN,AGBL1,CD37,VIP,KCNH8,SIGLEC9,SMOC1
239,LRIG1,QKI,BTNL9,IGHM,CHST9,PTAFR,EYA1,SLC7A14-AS1,AGA-DT,LINC00836,CARTPT,SLC2A1,KCNH8,UTRN,NPSR1-AS1,PAMR1,SHROOM4,LOC105377188,GPR183,PLEKHG3,COL15A1,MCTP2,ATP8B4,RNASE1
240,FOXP2,MPEG1,NCKAP1L,GPR37,LINC01446,RFTN2,TRPM3,VEGFA,ITM2A,HS3ST5,LINC03002,GLIS3,LINC01470,GADD45B,SPON1,CDKN1C,CRH,LINC01500,CFAP418-AS1,GATA2,CH25H,PAICS,ITIH5,LOC105373335
241,EYA1,RASGEF1C,SLAIN1,NPL,PALD1,IL18,TNFRSF11B,THBS1,CTSC,PRAM1,RNF125,HIGD1B,VIT,LOC101927314,YBX3,HES5,ACSL1,LINC02057,PDE3A,UTRN,S100B,LAMP2,LPAR6,CARTPT
242,GABRE,TIMP3,CCL5,TM4SF1,HMCN1,DHRS3,ADAMTS1,SCHLAP1,CNP,CTSC,BMP6,LOC101928516,MIR4527HG,TAC1,CD4,ANKRD44,FPR3,SRARP,LINC01090,GALNT15,TMEM123,LOC124901612,CYP27A1,PIEZO2
