,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
277,CTSZ,RHOU,SUCLG2,LINC02263,IL18RAP,NOSTRIN,PARP14,MOG,PLLP,STK33,PLLP,NAMPT,ARHGDIB,APOE,CD55,LHFPL3-AS1,F13A1,CLDN11,VAV3,SLC25A13,SLC16A9,CCL19,SIRPB2,HIF1A
278,TMEM51,HHEX,ANKRD37,CCL4L2,MAN2A1,SLC35D2,SLC2A1,SLC16A9,LINC02712,ISM1,LINC02649,GNG12-AS1,P2RY13,IFITM2,DIPK1C,IL10RA,ELMO1-AS1,SYK,OLIG1,RASSF2,SERPINB9,CD3E,B2M,ADIPOR2
279,ABCC9,HLA-DPB1,ARHGDIB,CX3CR1,NPY,ABI3BP,HIPK2,LINC02057,RNF220,CCDC13-AS1,CEMIP,BIN2,LINC02072,LINC01630,KIAA0040,ACSS1,TGFB1,ADAM33,MYO1F,GRIN3A,CTSB,LOC107985126,SEMA6A-AS1,BCAS1
280,TRGC1,PLAAT3,EVI2A,ZHX2,LOC105370315,SLC39A11,TAC1,CARNS1,MIR325HG,MOG,MCTP2,EVI2A,FGF13,CRISPLD2,VEGFA,PTPRC,CRIP1,STK33,CD53,TRG-AS1,HMCN1,CMTM7,CXCL14,TLL1
281,LMCD1-AS1,TREM1,TRG-AS1,ADAP2,FERMT1,PREX2,SLAIN1,TRBV18,NPY,TLL1,LINC01010,STEAP4,WDR49,BLNK,S100Z,TSC22D4,RERG,DENND3,SEMA6A-AS1,LINC00299,CBR1,PLP1,F13A1,SLC6A20
282,HLA-DMB,ENTPD1,TMEM123,CYP1B1,STEAP4,GNG11,C11orf96,ICAM2,PRRX1,CSRP1,TRIM38,CHRM2,DPP10-AS3,LINC02642,MIR646HG,LYL1,CD180,NLRP1,SLC4A4,LAMA3,MT3,CT69,MIR3667HG,BEST1
283,H2AC19,MID1,TAC1,MATN1,SV2C,RIN2,SEMA3B,ATP13A4,HES5,ALPK1,OLR1,ENTPD1,ITGA1,SPATA22,MOG,SRGAP2B,TREM2,KCNK13,LOC101928651,ADIRF,ARHGEF26,VIP,IL13RA1,BMP2K
284,DCN,P2RY14,RELN,LOC613266,ITGA8,SUCLG2,VIP,GZMA,PDZRN4,DISP1,ENOX2,SLC7A7,NCF2,CTXND1,ABI3BP,CNDP1,GPR183,STEAP4,MYO1E,CBR1,NR4A3,ZNF385D-AS2,GNA14,LMO2
285,COL9A2,CNKSR3,CCDC26,KCNIP1,ZFP36L2,BIN2,LINC02055,LINC01099,LAMP2,ARHGEF26,LINC02882,NDRG1,BTG2,UCP2,PCSK6,H2BC4,PDGFD,ANOS1,QDPR,NCF1,PLTP,SLC7A11,GPR183,LYZ
286,OPALIN,LINC02513,ITM2A,DSEL-AS1,PLCE1,TNS3,LOC101927026,SST,PHLPP1,SLC39A11,PHLPP1,DDR2,RGS20,PBX3,HLA-DPA1,CPA6,LOC283194,GNB4,SUCLG2,MAL,ADCY7,ADCY7,GAB3,LINC02263
287,SLC22A3,CCL3L1,NUPR1,CARTPT,CR1,GIMAP4,LINC03013,LRP4-AS1,LINC02381,LINC02999,CST3,COL9A1,GBP2,HIP1,LINC01090,PLCG2,SLC7A14-AS1,PHLPP1,NAMPT,PELI1,IFI44,PITPNC1,RYR3,DCN
288,NRXN1-DT,HBB,P2RY13,CLDN11,ACY3,THBS1,LINC02232,LOC101927141,ATP10A,KAT2B,MT1X,ST6GAL1,CRISPLD2,LINC01821,PXK,AGA-DT,GRAMD2B,BEST3,LINC02055,ADGRE2,MBNL3,LAPTM5,CT69,NPL
289,TRIM22,LOC107984203,SAMSN1,C21orf91,PLEKHA7,ANLN,ALK,FGD3,ANOS1,SCHLAP1,LINC02381,ZNF385D-AS2,SVEP1,CLEC12A,LINC00320,CYP19A1,DENND3,ALPK1,NR4A3,CTSC,ERBB3,P2RY12,LINC02694,SLC31A2
290,QDPR,GRAMD2B,EMC10,LINC02381,CPED1,SLC12A7,ENG,LRP2,HYCC1,BBOX1,NPL,SUCLG2,MOG,HCLS1,BLNK,GCNT2,AQP1,HBB,LINC02057,TRAF3IP3,LINC01088,IGHG1,POSTN,CTSC
291,S100A8,EZR,MIR325HG,MYO1G,TGFB2,LINC00499,LINC02263,SLCO2B1,LOC101927314,CDKN2B-AS1,KCNIP1,PREX1,ZNF683,C8orf34,LOC102724768,PLLP,DSEL-AS1,LOC101927745,LY96,ARHGAP45,TRIM59,LINC01416,CD44,STK32B
292,PCED1B,JUNB,MCAM,LINC03069,SLC2A1,PCA3,SLC31A2,DLC1,ADCY7,CDKN1C,RBPMS,PPP1R14A,LINC01876,SLCO1B1,PLAC8,CT69,SLC4A4,EPSTI1,LCP1,MYO16,CEMIP,CCR2,LINC02055,FBN2
293,MIR3681HG,HDAC2-AS2,MS4A4A,SSPN,B2M,KANK1,NXPH2,LDB3,ENOX2,PDE4B,TMEM235,CCL3L1,ITGA6,NPSR1,LINC02882,FCRL3,MUSK,SIPA1,HTR2C,TAFA4,ABCG2,ABCG2,HHATL,DNAH11
294,HEPACAM,HTR2C,BTK,FBXL7,PLSCR1,KYNU,KLF2,GPRIN3,HHATL,MITF,CCL3L1,ADAMTS4,PALM2AKAP2,ID1,SAMD3,DTHD1,HLA-B,LOC105374438,LAMA4,LRIG1,HBB,GALNT15,ZNF804B,HIGD1B
295,TNNI2,SEPTIN4-AS1,SPHKAP,PLXDC2,TANC1,CRISPLD2,MYO10,ANXA8,CST3,FAXDC2,BEST1,FBN2,CYSLTR1,DOCK10,HK2,LOC105373170,SERPINB9,DPP10-AS3,ABCA2,PLEKHA7,TNFSF15,PDLIM1,MITF,SRPX2
296,LINC01299,CPB2-AS1,NINJ2,CD69,SERPINH1,ENG,LINC01608,BLNK,LMO2,PDE7B-AS1,CLEC12A,LINC02057,JUNB,SP110,OPALIN,HIGD1B,IL18R1,COL6A3,CD55,HIF3A,PCED1B,CCL4,ZNF366,LINC00326
297,CPED1,CDH23,SLC39A11,CNTN5,ABI3BP,MIR3681HG,ATP10B,MLPH,ANXA3,SOX10,ENTPD1,MAP3K8,LINC02240,ARHGAP30,B4GALT1,MIR646HG,SYNPR,HEYL,LINC00499,EYA4,PHLDB1,MTUS1,PLLP,CYSLTR1
298,C21orf91,MT2A,PCED1B-AS1,SAT1,STARD13-AS,PLPP2,SLC6A20,COL25A1,LINC02057,B4GALT1,LINC01090,GPR34,LINC01088,LYZ,SAMD4A,LOC101927745,BEST1,NKX6-2,BHLHE41,LOC101927745,NIBAN1,LTBP2,LOC105373170,PENK
299,WNT5A,UGT8,BCAN,RNF125,TMEM63A,PDE1C,CARNS1,XYLT1,LINC03002,IL7R,SLC2A1,LDB3,LOC101926964,RNF220,IL13RA1,LRP4-AS1,LINC00326,RGCC,LUZP2,LINC01482,LINC00836,S100B,PLSCR1,THSD4
