,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
274,CFTR,OLFML3,AKR1C2,SCD,CD96,AIF1L,EVI2A,ZFP36,ITM2A,STOM,HIF1A-AS3,PIK3CG,LINC01608,FERMT1,LOC107985126,NOTCH2,CARNS1,IER3,NPY,PLEKHA7,SAMD4A,LRIG1,C10orf90,HEPACAM
275,IPCEF1,LINC00326,HLA-DMB,KIAA1755,SV2C,ATP1A2,ADIPOR2,MUSK,NCF2,SINHCAF,KCNIP1,SPI1,KCNH8,C10orf90,LOC101927314,HES5,FOLH1,KIF6,ITGA2,RUNX2,SLC7A11,TTYH2,ATP8B4,LINC03013
276,LMCD1-AS1,ENPP2,ZNF366,DPP10,OPALIN,CLDN5,HIPK2,CHRM5,HES5,PDE7B-AS1,CCN2,MAP3K8,HMCN1,TMEM144,PXK,AGA-DT,GRAMD2B,NAMPT,PLLP,LRP4-AS1,HBB,AGA-DT,NEK3,HIF1A
277,POU2AF1,MT2A,IL17RA,VCAN-AS1,TGFB2,NFIA,MAML3,NPL,PARP14,HLA-DRB1,LINC01931,EBI3,MIR4527HG,LINC02381,GLDN,ANKRD44,ARHGAP6,EPSTI1,SUCLG2,WIPF1,PCED1B,TMIGD3,SPATA13,CD36
278,MGP,GALNTL6,CD53,RNF125,FPR3,DHRS3,HSPA6,MYOF,SLC9A9,CCDC13-AS1,ERMN,LINC02649,CD53,NCKAP5,ELMO1,OTULINL,RERG,LOC101930421,ITGB5,S100Z,TMEM71,CHRM5,TNFAIP8,LMO2
279,NRXN1-DT,ABCA8,MIR4527HG,TMEM123,TAC3,CNDP1,BEST1,VEGFA,HSPB8,PDGFD,LINC01411,RNASE1,CSF3R,LINC02882,SYNE2,ACSS1,WIPF1,ARHGEF26,LINC02057,EVI2A,TRIM59,NDUFA4L2,LHFPL3,EPAS1
280,PCED1B,EZR,SFMBT2,MYL9,SELE,CLEC9A,LINC03048,BBOX1,HHATL,NDE1,LINC03002,FAM222A-AS1,SAMD9L,CARNS1,ELOVL7,FAM222A-AS1,RASGRP3,VCAN-AS1,SEMA6A-AS1,LINC00278,CDH23,TACR1,LINC02712,ADIPOR2
281,LINC01748,ADAMTSL1,MIR325HG,PDLIM1,PGM5,CARTPT,OPALIN,RGS20,SLC14A1,GBP2,LINC02882,ENTPD1,COL4A1,LINC01179,NPL,SUCLG2-DT,F3,TNFRSF10B,ENTREP1,PWRN1,LINC00326,ARHGAP25,HYCC1,RHOU
282,FERMT1,GRAMD2B,P2RY13,C21orf91,PPP1R14A,TRPC3,GBP2,SLC16A9,HISLA,LOC101930421,LINC01010,LINC03048,GPR37,STK33,GALNTL6,FERMT1,MYO15B,VIP,AGA-DT,ROR2,HIGD1B,BMP6,POSTN,SEMA3B
283,SLC22A3,CD37,CARNS1,CECR2,SLC35D2,LINC00877,C11orf96,MITF,MIR325HG,ISM1,CARD11,HK2,LINC01416,NKAIN3,EVI2A,OPALIN,SLC7A14-AS1,LINC01821,LY96,S100B,CBR1,NTN1,HLA-DRB1,ARHGAP6
284,ABCC9,STEAP1B,SEMA3B,DPP10-AS3,LINC02642,HLA-DRA,PTAFR,HISLA,SLC11A1,SLC39A11,MOG,EVI2A,RIN2,SEMA6A,HLA-DPA1,DDR2,FPR3,PLEKHH2,ATP10B,MT1X,BOK,LILRB4,LPAR6,HIGD1B
285,FAM222A-AS1,PLAAT3,H2BC18,DSEL-AS1,IL7R,LINC02055,B4GALT1,LRRC63,LINC02328,NDUFA4L2,PLPP3,FERMT1,LHFPL2,PTGDS,ANGPTL4,ANOS1,SOCS6,LINC01036,CPA6,SSPN,CTSB,HLA-DPB1,ADAMTS4,NPL
286,HEPACAM,HHEX,CTSC,FCGR3A,SAMMSON,ABI3BP,HBB,DCN,SEMA6A-AS1,DISP1,RASGRP3,COL9A1,GLI2,THSD7B,VWA1,SLC31A2,CYTL1,WWTR1,NXPH2,ADCY7,SLC14A1,CST3,LOC728158,BMP2K
287,EMC10,CNKSR3,MS4A4A,THSD7B,FLVCR2,FAM222A-AS1,COL4A4,SST,MIR646HG,MT1X,SLC6A20,GNA14-AS1,WDR49,GADD45B,LOC102724768,SMIM35,TFPI,LINC01931,ABCA2,SLC25A13,ABCG2,THBS1,NPSR1-AS1,SLC14A1
288,JUNB,SUCNR1,CCDC26,ADAMTS17,MAN2A1,LIPG,VIP,SP110,LINC03002,MT1M,GADD45B,CHRM2,CD4,SPI1,ADIPOR2,COL15A1,NIBAN1,ALK,SOX10,CD38,PLSCR1,LINC00968,HAMP,LINC02649
289,RNASE1,JUNB,SUCLG2,ZNF804B,LINC02997,RGL3,SLC2A1,CMTM8,LINC01010,MAG,NHSL1,S100B,PLEKHH2,KIF6,TRAF3IP3,GCNT2,CCL4L2,MAP3K8,LINC00499,LINC01877,SEMA3B,TSC22D4,GNA14,EYA4
290,FRMD4B,CERNA2,ENOX2,MATN1,BTG2,TRABD2B,NPSR1,KYNU,NOSTRIN,FAM114A1,KIT,ADGRE2,HGF,GRIN2C,DDR2,CHRNA7,NTNG1,CYP19A1,KMO,IL1R1,SLC25A13,TNFRSF11B,CSF2RA,MOG
291,SLC1A2,H1-5,LOC107984203,LINC00906,FERMT1,PLPP4,SLC6A20,KCTD12,LAMP2,TNFRSF11B,HIGD1B,ETS1,TRG-AS1,SCN10A,MIR646HG,LHFPL3-AS1,HHATL,CCDC26,SLC4A4,SLC16A9,NTN1,CT69,CEMIP,LYVE1
292,FGFR2,FTL,LINC01931,PMP22,LINC01091,KIT,GRIN2C,HPN-AS1,PLPPR1,ALK,CD163L1,LOC105373170,ARHGAP6,THEMIS,EPAS1,MOG,F13A1,MT1M,SPHKAP,OPALIN,SELE,LYN,CA2,UST
293,MT1H,RHOU,NR2F2-AS1,TIE1,LINC01265,NOSTRIN,ZNF385D-AS2,H2BC11,LINC02381,EYA4,LINC01090,ADAMTS4,FGF13,PLLP,ENG,LOC105373170,SERPINB9,FAXDC2,QDPR,MERTK,ADGRL4,RASGEF1B,NOSTRIN,SRGAP2
294,SOX10,HS3ST5,ANKRD37,KLK6,ENG,ENTREP1,TAC3,LOC101927141,HYCC1,LINC01099,ADAM12,SUCLG2,NPY,LOC101927314,LNC-LBCS,AKR1C2,EMC10,AGT,HBB,LRRC1,ADM,NFATC2,LINC01317,ARHGAP15
295,MRC2,ASCL4,BTK,CX3CR1,TRIM59,SUCLG2,TAC1,TFPI,ADCY7,B4GALT1,LINC01500,CCL5,BTG2,ZNRF3,LOC101927560,VWA1,COL4A1,GGT5,TINAGL1,SLC27A6,SUCLG2,CARNS1,ITIH5,CARD11
296,THSD4,SOCS3,SERPINB9,CYP1B1,SLC2A1,CABLES1,SLC31A2,SYTL4,CARTPT,PLEKHG3,SPATA22,ALOX5,FLT1,LINC01630,SLC24A3,MIR646HG,LPCAT2,TMEM71,LOC105373347,ITGA6,HEPN1,ALOX5,LOC101927948,MEGF11
297,CPB2-AS1,CARNS1,WWTR1,STEAP1B,ZCCHC24,MRC2,ALK,SCHLAP1,BEST1,VAV1,HES1,PREX1,SEMA3B,ENTPD1,CR1,CD14,BEST1,S100B,B4GALT1,NPSR1-AS1,ATP8B4,LCP1,MAL,AREG
298,TNC,GIMAP1,NKD1,BTG2,TAGLN,LOC101927745,MYO1E,XYLT1,PDZRN4,CFH,TMEM235,RCSD1,SVEP1,COL4A4,HLA-DPB1,LINC01099,RASGEF1B,TNFAIP3,NKAIN3,CBR1,CRYBG3,TLR5,SLAIN1,ZNRF3
299,CMTM5,SEPTIN4-AS1,SAMSN1,NEDD9,PLSCR1,LINC00299,CARTPT,PRKCH,ENOX2,ADGRE2,MGP,ATP10B,NPSR1,BMP6,SLC7A2,ENPP2,TNFRSF10B,LUZP2,LCP1,CSF3R,GPR34,LOC105375523,CD163L1,LINC00276
