,Astrocyte,Microglia-PVM,L2/3 IT,Oligodendrocyte,Chandelier,Endothelial,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,OPC,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
210,PRDM16-DT,ATP10B,GPR37,ADAMTSL1,BACH1,SLC9A9,MOBP,ENTPD1,COBLL1,QDPR,LURAP1L-AS1,PAICS,CPA6,USP6NL,GLUL,ADM,MYH11,NKX6-2,GPR183,DENND3,FPR3,MT1X,THBS2,SUCLG2
211,SEMA5A,NRXN1-DT,ENPP2,TACR1,FAM149A,TIMP1,BTG2,GPR37L1,ARHGEF26,ADAMTS18,OSMR,PGM5,PTGS1,ATP13A4,TAC3,CNTN2,SP100,HLA-DRB1,LYPD6,NR4A3,LDB3,TYMP,PREX2,LOC105370315
212,GALNT15,CARTPT,OSMR,ZBTB20,SLC1A2,SH3TC2-DT,ACSL1,CIITA,SUCLG2-DT,ERBIN,EPAS1,CSF2RA,CYBRD1,LINC02712,DPP10-AS3,SLC6A13,LINC01876,LINC01500,FGF2,GREM1,MBNL3,LMCD1-AS1,LINC01090,VWF
213,FOXP2,GAB3,KCNQ1,LCP1,DOCK1,GAB3,LUCAT1,FAM149A,LOC101928516,CT69,SLA,EMCN,CAPN3,RIPOR3,CTSZ,LOC101927026,KMO,ADAMTS18,ADAMTS9,LPCAT2,NR4A3,MS4A7,LINC01608,ELMO1-AS1
214,MCTP2,IL1A,LINC01482,KMO,HDAC2-AS2,CD163L1,DLC1,FTL,PCED1B-AS1,PIK3AP1,ST6GAL1,KIF6,SST,CCL4L2,STEAP4,ENTPD1,LINC01060,IL21R,PLPP4,SAT1,CIITA,LOC105373170,KANK1,TENT5A
215,TMEM273,CLEC9A,LINC00499,MGP,SLC2A3,GJA4,LOC101927560,LOC105373335,LUCAT1,CLMN,PTN,PLEKHA7,DOCK2,PARP4,MIR3667HG,ABCA2,LINC02263,YBX3,STK33,LINC01505,TAFA4,FTL,LILRB1,RAMP2
216,ADAMTSL1,NPY,LINC02055,LINC01060,LDLRAD3,LOC102546299,AGA-DT,ST6GALNAC3,PARP4,OSMR,TF,LINC00298,PCSK6,RNF125,LOC105374438,RAMP2,HK2,SAT1,TGFB2,MOG,SRGAP2,PLEKHA7,STK33,VWA1
217,TMEM123,ATP1A2,LINC02057,LPCAT2,POSTN,S100B,EMC10,HIF1A,LINC02649,LINC01416,IL10RA,TAC1,DDR2,TAC1,NRXN1-DT,ARHGAP22,AQP1,LINC01877,NPL,RNASE1,PLD5,SUCLG2-DT,CCN1,MCAM
218,NTNG1,NCKAP1L,ALK,ANO2,EMP2,DPP10-AS3,SUCLG2,CFAP47,GPR37,IFNG,LOC105370315,RNF125,ZNF385D-AS2,OBI1-AS1,ACSL1,NTN1,TSC22D4,FBXL7,BLNK,AKR1C2,DDR2,SLC6A13,TLR2,PHLPP1
219,LINC03013,BCL2A1,TAFA4,MIR646HG,MRC1,FAXDC2,SERPINB9,LINC01416,ARHGAP22,COBLL1,LINC01416,MIR4300HG,RYR3,CRYBG3,NEK3,PGM5,SPI1,DDIT4,WNT5A,B4GALT1,MUSK,FGR,HOXB-AS1,TMEM144
220,LOC107984203,RGS10,NCKAP1L,ABI3BP,CLIC4,CXCL10,ADAMTS1,CARTPT,CTSC,CALCRL,HHATL,HISLA,CMTM7,ENPP2,LURAP1L-AS1,NOS1,LOC613266,CDH5,OLIG1,FGF1,LINC01374,LTF,LMCD1-AS1,LINC01630
221,SST,STARD13-AS,QDPR,SKAP1,SOCS6,SERPINA3,MYO5B,SUCLG2-DT,ACSL1,LRP4-AS1,USP6NL,CCL4L2,TFRC,CHRNA7,ABTB3,LINC00499,SLC2A1,TAC3,MYO10,GALNT15,LOC107984203,CDH1,TINAGL1,GYPC
222,GPR183,TREM2,PROX1-AS1,VIP,LOC105369147,BIN2,KIF6,FLT1,GPC3,SST,TAC1,THBS1,RHOU,LY86,GNLY,CRYAB,ADAMTS6,CFAP47,THBS1,MYO16,PMP22,LPCAT2,LINC01876,SAT1
223,TMEM176B,TMEM144,PLEKHA7,LINC00326,GPR37,GPR149,NTNG1,STEAP4,HBA2,KIF26B,SKAP1,SLC2A1,HHATL,LOC124904701,LINC01411,STK32B,COBLL1,PLPP3,CABLES1,WNT5A,CGNL1,CLEC12A,MUSK,OPALIN
224,PON2,FGD2,PLP1,POU2AF1,NPSR1,TFRC,SLC44A1,FGD3,TAFA4,B2M,CT69,CPA6,LINC03048,HILPDA,CD55,NPL,LINC01374,CASP10,ST8SIA6,ASPA,CD53,LOC107985126,TNFSF10,CARTPT
225,GABRE,LINC02953,SEMA6A-AS1,CDH23,PRKCQ,HBA2,ITGA2,HES5,JUNB,PRAM1,IER3,WDR49,TBX15,EGLN3,IL13RA1,CNP,SHROOM4,CD74,LINC03048,BIN2,SLC6A13,TIE1,KIAA1755,BEST1
226,RUNX2,ACY3,MKRN3,GNB4,SRGN,MYH11,LINC01374,SLC7A14-AS1,PCDH11Y,LINC01221,CYBRD1,COL25A1,OSMR,PIP4K2A,ABCA2,PTPRC,CHRM5,HIGD1B,TMEM123,DOCK1,HAPLN2,IL1RN,SSPN,CD55
227,SPTLC3,CLEC7A,CCL5,PDE7B-AS1,RASGRP3,CHST9,LOC101927314,BTNL9,LINC01608,CD86,PIP4K2A,OSMR,EVI2A,RUBCNL,RASGEF1B,GLUL,SYNPR,WNT5A,NIBAN1,MAG,TMEM144,EDNRA,LOC105373170,S100B
228,MARCKSL1,PCDH9-AS2,RNASET2,MYO10,CYP1B1,SEMA3G,TNFRSF11B,TACR1,GPX3,LNC-LBCS,C1orf87,PPP1R14A,LINC00320,OTULINL,NCKAP1L,TMEM144,SP110,GLDN,FAM114A1,CD37,TMEM51,FPR3,CTNNA3,TPD52L1
229,P2RY13,NLRP6,RNF125,SLC7A7,CPA6,UTRN,NOTCH2,CD36,LINC01411,ST8SIA6,KAT2B,HBA2,FHL5,LCP1,SLC6A13,CTXND1,LINC01299,ENPP2,LINC02649,LINC01010,LOC101927745,ZIC1,ZNF366,SPI1
230,AGA-DT,LOC102724104,GNA14,SLC9A9,HMCN1,IL13RA1,EYA1,MOG,GIMAP4,OTULINL,RYR3,PROX1-AS1,CLDND1,NKX6-2,BLNK,ENOX2,GAD2,LTBP2,LINC01416,GPR183,KIF6,LINC01099,LOC124901612,LOC105378311
231,MT1F,COL4A5,ITGA6,HAPLN2,CHST9,IL18,PLEKHH1,C3AR1,SEMA5A,HS3ST5,OPALIN,SPON1,NCKAP1L,MYO5B,CLDND1,ZC3HAV1,LINC01482,B2M,CTSC,ROBO2,STK33,LINC01416,FOXO1,HLA-DPB1
232,MX2,CD14,SGO1-AS1,TNS3,KCNK13,ACSS3,ERBIN,LINC01630,ADIPOR2,LINC00836,TAC3,ITM2A,THBS2,PROX1-AS1,FAM20A,ITGA8,SYTL4,XRCC4,B2M,MS4A4E,VIP,LAMA3,LINC00299,BCAS1
233,MT1M,MPEG1,ATP10B,TXNIP,TP53TG5,CLEC2B,CNP,LINC01221,CYTH4,CHST9,SLCO2B1,LAMA2,ITGA2,CBR1,ABI3BP,PAMR1,HLA-B,FRMD4B,LINC01090,PAICS,FLT1,LAMP2,ITGB5,KCNH8
234,WIF1,AOAH,EYA1,PLA2G4A,TLR6,HPN-AS1,BHLHE41,GADD45B,ST6GAL1,ARHGAP30,SP110,AOAH,MT3,HEY2-AS1,SLC2A1,IL1R1,C21orf91,ALDH1L1,CYSLTR1,MAL,EDN1,GALNT15,CYP27A1,CARNS1
235,BTG2,PLP1,TRPC3,NPL,LOC105377448,IRAG1,CTSB,ELOVL7,WWTR1,HIGD1B,IL17RA,PRUNE2,HPGDS,SLC7A11,LINC01099,RNASET2,ACSL1,TFRC,SULF2,LOC101927745,HMCN1,CD58,TMTC2,LINC00326
236,ELOVL7,PXK,PPP1R3C,TLL1,OLIG1,KCNN3,SLC14A1,NCF2,ALOX5,DPP10,SNTB1,ENOX2,NPL,P2RY13,DHRS3,SLC7A2,CYSLTR1,BCAN,GRIN2C,WDR49,LINC01091,ROBO2,MGST1,EVI2A
237,TSC22D4,ADGRL4,MBNL3,IL13RA1,MT1X,PTAFR,RNASET2,LGR5,CD4,CLEC9A,FYB1,PLEKHH2,LUZP2,LOC107985126,KIF6,FCRL5,LINC01411,HMCN1,HS3ST2,PIP4K2A,SLC27A6,HLA-DOA,PPFIBP2,JUNB
238,LOC102724289,KCNMB1,LINC03048,GPR37,HCLS1,CSRP1,BACH1,SERPINB9,SAMD4A,FAXDC2,RGS20,NOSTRIN,LOC285626,SPN,ISM1,NCKAP1L,MATN1,CD83,NOTCH2,LMCD1-AS1,NPY,TENT5A,ITGA8,CD58
239,VWA1,S100B,PCSK6,LOC101927948,EYA1,LAMA3,ROR2,THBS1,AGA-DT,SPATA22,BEST1,NID1,CDC14A,SIGLEC10,SPON1,SP110,CLIC4,CLDN11,MYO1F,LOC105374524,CABLES1,KANK1,LINC01480,CLMN
240,PARP14,LINC01505,EVI2A,NFATC2,C4orf19,NDST4,HLA-DPB1,ACSL1,MERTK,PRKCQ,SLC12A7,LINC01091,MARCKSL1,CD53,CPB2-AS1,SLC11A1,CXCL16,ATP1B2,PGM5,SLC6A13,ALOX5,HYCC1,ZNF385D-AS2,COL21A1
241,CTSZ,S100A4,GLDN,SLC11A1,SLC7A2,BEST1,NRXN1-DT,PDE7B-AS1,PLLP,WDR49,ITGA6,RNF220,HTR2C,IQGAP2,LINC02882,HSPA2,FCGR2A,NRXN1-DT,UST,ENOX2,PLTP,SP100,A2M,LOC105371366
