,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,latent_33,latent_34,latent_35,latent_36,latent_37,latent_38,latent_39,latent_40,latent_41,latent_42,latent_43,latent_44,latent_45,latent_46,latent_47,latent_48,latent_49,batch,condition,group
0,-0.38666105,-16.721079,-4.467349,2.1967194,0.18057513,0.9052117,0.609914,0.95097995,-0.47234148,-0.78767896,0.7716693,-0.45296252,-0.14379811,-0.26086825,-0.49715272,0.5930017,-0.5734274,-0.44779208,-0.49730024,-0.3038138,0.27529544,0.14459904,0.090968505,0.068216085,-0.1979441,0.10218449,0.16282663,-0.104664564,0.12933746,0.11918606,-0.3750676,-0.16219743,0.070634395,-0.1138064,0.341644,0.05496706,-0.15480702,0.3427435,0.1030556,-0.14285964,-0.08267062,0.17026901,0.052745104,0.21986437,-0.055171534,0.13894367,0.099064976,0.104419835,0.14573956,-0.036164813,0,1,0_1
1,10.67765,5.955554,-4.1520157,-0.7169153,0.8084166,-0.44755644,-0.27385873,0.42067733,0.6255305,-0.3821125,0.0360651,0.53155816,-0.1469801,-0.11654344,0.12556198,0.06486878,0.13886428,-0.24678832,-0.36826393,0.26814908,0.26448482,0.05459459,0.039628536,-0.021409348,-0.06893182,0.011128835,0.047638357,0.24901238,0.0038900375,0.23258556,-0.047421776,-0.01867444,-0.013375491,-0.001260519,-0.0058371425,0.30854356,0.0804766,0.06942916,-0.0024003386,-0.18524319,0.044671163,0.009306312,0.060095698,-0.16914889,0.079971045,-0.23053701,0.06888598,0.106171705,-0.079227835,0.012543976,0,1,0_1
2,-15.635944,7.896064,-0.24619257,-3.5453136,0.51495075,0.30085713,-0.024569929,0.60596836,-0.18552542,0.67467004,-0.27052185,-0.5274935,-0.33250332,-0.021798939,-0.15398529,0.12690336,-0.33109897,-0.7140928,-0.19063276,0.14021997,0.26686507,-0.064196244,0.04492943,0.07802378,0.09304941,-0.3758397,0.1102833,0.1664908,0.044456124,-0.17454779,-0.22222649,0.01538102,-0.07427436,0.15187444,0.12943706,0.002155073,0.035661176,0.23466298,0.086025536,-0.21056914,0.08264311,-0.18682522,-0.120931536,-0.1477858,0.038523704,0.034139086,0.032435,0.063472435,-0.05417368,0.16359338,0,1,0_1
3,12.000349,6.093738,-5.712701,-0.5268609,1.7468345,-0.6975679,-0.20831013,0.04835567,-0.16281542,0.4187925,-0.4048301,-0.5457176,0.21282554,0.17620733,-0.19378492,0.2564987,-0.0218423,0.24447942,0.036980182,-0.031608433,-0.0035284758,0.004545808,-0.11405349,0.027131826,0.08528525,0.052318558,-0.022695541,-0.02330342,-0.012117356,-0.08117591,-0.05606983,-0.04614885,-0.066966206,0.036231905,0.099974275,-0.18458901,-0.047216132,0.020900548,-0.11004794,-0.050615758,-0.041613474,0.06628752,-0.0129188,-0.016651414,-0.039060056,-0.00976723,0.0241839,-0.055808157,-0.002671808,0.0008011088,0,1,0_1
4,11.827623,6.160966,-5.417973,-0.65446776,1.6194804,-0.60932153,-0.32311594,0.12979308,-0.09205139,0.27511632,-0.26311895,-0.3033823,0.30323076,0.05179906,-0.15063494,0.09397325,0.106117904,0.21858835,-0.018132165,-0.008444309,0.11658728,0.089846835,-0.16309953,-0.007258579,-0.09719163,-0.08046335,0.041742295,0.05432245,0.013835728,-0.06448072,-0.033085532,0.025983509,-0.081379354,0.023115486,-0.03197959,0.08432636,-0.050334886,0.013041377,-0.05930245,-0.00629279,-0.044647902,-0.021373808,0.060276747,0.00060895085,0.008134946,-0.007507474,-0.011121601,0.063895285,-0.069125265,-0.010892052,0,1,0_1
5,5.1246376,-1.7333684,14.306786,4.0057244,2.9695575,-0.008976877,-0.0085785985,-0.2673313,-0.092051834,0.5421561,-0.23606208,0.87819314,-0.16548955,0.9548235,0.0661671,0.270795,-0.37023216,0.167795,-0.22212088,0.9344455,0.20452818,-0.062320933,-0.22685996,0.19857216,-0.3059386,0.087815955,-0.007409513,0.04747176,-0.28665096,-0.0061400235,-0.10470147,-0.14413248,-0.40432227,0.23568282,-0.13497603,-0.1468811,-0.0128157735,0.28409317,-0.3144913,-0.41085804,-0.1746496,-0.13927394,0.12418331,-0.20891157,-0.32579243,-0.15101,0.15215072,0.040396944,0.20943063,0.19482401,0,1,0_1
6,-12.536459,5.963029,2.1644216,-1.5851295,0.035313368,-0.053059578,0.26847717,0.007844597,-0.0015244782,-0.16536784,0.32218122,-0.22566193,0.017327726,-0.568578,0.23172942,0.06745443,-0.06856036,0.099096656,-0.2766352,0.33323464,-0.09188639,-0.19037196,0.098633885,-0.34236076,0.1128785,-0.2911085,-0.17263314,-0.20602828,-0.1311998,0.05487843,0.33889848,0.26255688,0.29440454,0.0055379868,0.15805587,-0.09831055,0.061270997,-0.08595526,0.099579215,0.17317602,0.0193066,0.09089172,-0.037361294,0.17851412,-0.21973065,-0.21443398,0.1679455,0.03579692,-0.039306045,0.08638566,0,1,0_1
7,11.09086,6.2468786,-5.097485,-0.55482817,1.0314896,-0.72596306,-0.5820097,0.36210713,0.35947084,-0.4231298,0.03419268,0.25839025,0.06751865,-0.1798166,-0.06140407,-0.0048005283,0.1743359,-0.26502383,-0.24835876,0.28007114,-0.12482816,0.09573649,-0.23343119,-0.14225206,-0.21091247,0.082387134,0.14690825,0.11538121,-0.038654834,0.2674743,-0.10469101,-0.05225109,0.09030259,-0.15080413,-0.14805257,0.15062767,0.09331556,0.06134242,-0.035889864,-0.07935226,0.08171354,-0.09524423,0.07505649,-0.07495229,0.021480948,-0.007388424,0.061814904,0.21759814,-0.18055084,-0.039751336,0,1,0_1
8,11.762526,3.943662,-1.0843977,-3.0179589,0.23983145,0.08102977,0.5859823,-0.060895205,0.24619156,-0.041778207,0.038013518,-0.06085944,0.3831525,-0.1379202,-0.14822823,-0.043364853,0.19488597,-0.3320118,0.15949714,0.04341042,-0.12497108,-0.18662576,-0.071983755,-0.07290131,-0.19449353,-0.025443763,-0.11202946,0.21047828,-0.050234377,0.27839613,0.06297652,-0.2320518,-0.09228128,0.20067525,0.11368486,-0.12596402,0.05249004,-0.11318189,-0.016672611,-0.10138959,-0.05014509,-0.0074691176,0.046495825,0.021572605,-0.0726518,-0.047329925,-0.022743165,0.015607297,0.22298944,-0.030777097,0,1,0_1
9,11.982431,5.5725303,-5.0276117,-1.0157483,1.3015087,-0.617719,-0.09490055,-0.07338327,-0.19619764,0.33118284,-0.20094174,-0.41421282,-0.0054973364,0.14044625,-0.14240953,0.2657519,-0.08611494,0.31969202,0.02066286,-0.23110178,0.05838272,0.069760814,-0.14311844,-0.012664765,0.009613663,-0.010619998,0.020646721,0.056945622,-0.010655373,0.004868284,0.011052009,-0.016061788,-0.047444344,0.013695449,0.0059227943,0.011458382,-0.020011693,-0.032911837,-0.08616692,0.0016816258,0.09136303,-0.060968816,-0.024137378,0.0408224,-0.035387754,-0.0120604,0.044670492,0.0041162595,-0.0556674,0.04019198,0,1,0_1
